short_question,short_answer
,
,
what are symptoms of brain tumors,rosacea is basically different than acne although the two can coexist it is also sometimes called adult acne  unlike common acne rosacea is not primarily a plague of teenagers but occurs most often in adults ages 30 to 50 especially in those with fair skin different than acne there are usually no blackheads or whiteheads in rosacea furthermore most teens eventually outgrow acne whereas patients with rosacea do not generally outgrow it rosacea consists mostly of small red bumps that are not squeezable or extractable like blackheads squeezing a rosacea pimple usually causes a scant amount of clear liquid to expel unlike traditional acne where professional extractions can help remove whiteheads and blackheads squeezing or extracting rosacea bumps does not help improve the rosacea people with rosacea tend to have a rosy or pink color to their skin as opposed to acne patients whose skin is usually less red rosacea strikes both sexes and potentially all ages it tends to be more frequent in women but more severe in men it is very uncommon in children and it is very infrequently seen in darker skin tones or black skin
all my body is swelling my feet face breast i guess it is water retention i am in panic,in my opinion you need to check albumin levels also do a complete blood count take bran for constipation drink lots of water take b active in the morning and omega 3 after lunch in cbc if you have anemia you will need iron supplement however do not take it iron until constipation is resolvedgood luck
what is crohn is disease,crohn is disease causes inflammation in the small intestine crohn is disease usually occurs in the lower part of the small intestine called the ileum but it can affect any part of the digestive tract from the mouth to the anus the inflammation extends deep into the lining of the affected organ the inflammation can cause pain and can make the intestines empty frequently resulting in diarrhea crohn is disease is an inflammatory bowel disease ibd the general name for diseases that cause inflammation in the intestines crohn is disease can be difficult to diagnose because its symptoms are similar to other intestinal disorders such as irritable bowel syndrome and to another type of ibd called ulcerative colitis ulcerative colitis causes inflammation and ulcers in the top layer of the lining of the large intestine crohn is disease affects men and women equally and seems to run in some families about 20 percent of people with crohn is disease have a blood relative with some form of ibd most often a brother or sister and sometimes a parent or child crohn is disease may also be called ileitis or enteritis
my granddaughter has to have a gluton free diet what can i feed her  she has stomach pain alot and she has a cousin her aunts child that is allergic to gluten so they want to put her my granddaughter on a gluten free diet to see if this helps her i need to know what i can and cant feed her and what i can substitute so she still gets nutrients she needs with out it costing me an arm and a leg im on a rather small income but want to do whats best for her,hi no its not necessary to repeat all the shots you can take the scheduled dose in february after returning home 1 month delay is acceptable however you should inform your doctor about this beforehand thanks
how is phonophobia related to migraines,start by reducing your dose of viagra somethimes alot of people do not pay attention to the milligrams that are in each pill some people like night caps as a mood setter but alcohol can also be a problem try these things and check out site <link>
my son has been vomiting for about 5 hours and has pain in lower right side of abdomen but no fever what to do,go to er possible appendicitis
mosquito bites on vacation leave dark purple spots,hi if you google depression it come up as depression and anxiety they do go hand in hand but if your having problems with it and your male it will affect your sex life depression and anxiety are known sex killers also the drugs for it are also sex killers google natural ways out of depression and anxiety your find lots of drug free help for being drug free its well worth doing if you do choose to go drug free please do this through your doctor and your doctor wont like you doing it there is no drug kick back money in it for himher you being drug free do hope this helps you good luck
who is a candidate for epilepsy surgery,surgery is indicated in a small group of children it usually takes the failure of two or three anti epileptic medications before a child would be considered as a potential candidate for surgery in general this happens at least after two or three years of continuous treatment with medications the failure might be due to a resistance to the anti epileptic medications that are available to the presence of intolerable side effects to the anti epileptic medication to a combination of both since surgical procedures might be very effective in some children once it is clear that the child is epileptic disorder is not responding to treatment with anti epileptic medications surgery should be considered young age is not a contraindication for surgery and there is no benefit in waiting for the child to be older in fact there is considerable evidence that the younger a child is at the time of surgery the better hisher potential will be for good function after the surgery there is a certain degree of plasticity in the brain that helps with the recovery of functions that can be damaged at the time of surgery this plasticity is higher in younger than in older children
